Tag,Color
DES,"rgb(125, 92, 110)"
DOM,"rgb(93, 194, 122)"
ELS,"rgb(0, 47, 94)"
GUA,"rgb(115, 194, 251)"
ALT,"rgb(115, 251, 194)"
HAI,"rgb(139, 179, 207)"
ATL,"rgb(115, 236, 250)"
MEX,"rgb(56, 143, 53)"
MTC,"rgb(221, 186, 163)"
HON,"rgb(235, 240, 247)"
NEN,"rgb(166, 224, 85)"
NEW,"rgb(255, 211, 56)"
NIC,"rgb(34, 88, 186)"
PNM,"rgb(150, 85, 61)"
QUE,"rgb(194, 140, 86)"
HBC,"rgb(99, 91, 69)"
ONT,"rgb(136, 72, 91)"
NBS,"rgb(235, 196, 128)"
NVS,"rgb(148, 205, 135)"
TEX,"rgb(4, 39, 104)"
UCA,"rgb(90, 175, 255)"
ARG,"rgb(101, 102, 163)"
BOL,"rgb(219, 182, 182)"
BRZ,"rgb(38, 155, 83)"
CHL,"rgb(236, 159, 89)"
CLM,"rgb(255, 234, 168)"
ECU,"rgb(43, 141, 172)"
PEU,"rgb(124, 140, 162)"
PRG,"rgb(177, 44, 29)"
URU,"rgb(131, 101, 85)"
VNZ,"rgb(255, 176, 140)"
ISR,"rgb(150, 212, 214)"
BYZ,"rgb(147, 82, 173)"
ICL,"rgb(62, 129, 155)"
ARA,"rgb(66, 111, 19)"
UBD,"rgb(142, 140, 84)"
BYE,"rgb(172, 170, 170)"
PLC,"rgb(219, 31, 62)"
GCO,"rgb(255, 244, 100)"
JAN,"rgb(17, 225, 48)"
BIC,"rgb(188, 113, 61)"
BRI,"rgb(215, 195, 225)"
PAT,"rgb(196, 25, 10)"
THL,"rgb(57, 124, 138)"
SLK,"rgb(122, 14, 52)"
TNG,"rgb(69, 38, 162)"
WIN,"rgb(50, 150, 50)"
MAY,"rgb(98, 88, 142)"
IBE,"rgb(250, 181, 0)"
ORG,"rgb(138, 80, 126)"
COM,"rgb(96, 57, 19)"
SEQ,"rgb(86, 120, 117)"
DKT,"rgb(68, 14, 98)"
LKT,"rgb(198, 114, 168)"
NVJ,"rgb(126, 180, 154)"
ARP,"rgb(223, 204, 125)"
NZP,"rgb(220, 190, 50)"
ABS,"rgb(199, 102, 22)"
IRC,"rgb(61, 158, 124)"
JAM,"rgb(49, 84, 10)"
BAH,"rgb(0, 119, 140)"
PCO,"rgb(104, 92, 87)"
MKT,"rgb(1, 1, 1)"
NAH,"rgb(0, 132, 22)"
GRN,"rgb(26, 132, 44)"
ANL,"rgb(240, 230, 155)"
CAS,"rgb(198, 178, 65)"
SMI,"rgb(28, 146, 136)"
MLT,"rgb(28, 146, 136)"
PRM,"rgb(236, 159, 90)"
HZJ,"rgb(236, 159, 90)"
TRC,"rgb(165, 117, 208)"
SIB,"rgb(139, 138, 160)"
YAK,"rgb(131, 176, 131)"
ASM,"rgb(163, 5, 77)"
MNP,"rgb(149, 191, 117)"
TOB,"rgb(183, 141, 1)"
KLT,"rgb(193, 164, 142)"
HTH,"rgb(140, 210, 160)"
KRN,"rgb(72, 153, 99)"
KHM,"rgb(244, 237, 202)"
KHN,"rgb(130, 186, 198)"
AIN,"rgb(201, 197, 124)"
EZO,"rgb(129, 40, 147)"
QIA,"rgb(0, 103, 165)"
FRS,"rgb(218, 234, 15)"
YUN,"rgb(245, 245, 220)"
YUE,"rgb(89, 113, 223)"
OAX,"rgb(158, 118, 120)"
MCO,"rgb(158, 18, 20)"
TWT,"rgb(125, 92, 110)"
AYM,"rgb(173, 211, 239)"
WYU,"rgb(40, 96, 65)"
TPI,"rgb(157, 209, 192)"
PUE,"rgb(162, 128, 8)"
NNV,"rgb(205, 214, 216)"
NVL,"rgb(126, 180, 154)"
ATB,"rgb(88, 105, 137)"
CSC,"rgb(105, 152, 73)"
IRO,"rgb(87, 182, 80)"
CTF,"rgb(220, 147, 37)"
SLS,"rgb(50, 152, 173)"
BNN,"rgb(129, 56, 7)"
MSC,"rgb(108, 139, 208)"
SML,"rgb(146, 95, 107)"
UTE,"rgb(235, 126, 175)"
PWN,"rgb(252, 84, 118)"
APC,"rgb(198, 158, 109)"
BLF,"rgb(1, 1, 1)"
CCM,"rgb(1, 1, 1)"
ORN,"rgb(1, 1, 1)"
MUI,"rgb(162, 182, 64)"
SRB,"rgb(67, 80, 128)"
YUC,"rgb(20, 142, 20)"
RIO,"rgb(20, 20, 20)"
PNI,"rgb(38, 155, 38)"
CEY,"rgb(155, 46, 46)"
BLH,"rgb(125, 47, 47)"
NGF,"rgb(41, 37, 37)"
SGF,"rgb(176, 18, 7)"
OCC,"rgb(101, 50, 253)"
TUV,"rgb(68, 242, 236)"
COR,"rgb(68, 242, 236)"
TNS,"rgb(11, 115, 39)"
FER,"rgb(147, 25, 25)"
IUS,"rgb(11, 115, 39)"
NCA,"rgb(97, 162, 242)"
DON,"rgb(37, 168, 217)"
SYR,"rgb(241, 245, 240)"
EOT,"rgb(212, 11, 27)"
LEB,"rgb(18, 201, 27)"
HNA,"rgb(126, 164, 224)"
AHU,"rgb(187, 126, 224)"
ZHI,"rgb(207, 64, 88)"
SHN,"rgb(94, 209, 94)"
GUI,"rgb(37, 102, 37)"
GNG,"rgb(133, 56, 8)"
SIH,"rgb(42, 189, 68)"
SHA,"rgb(189, 113, 42)"
XIB,"rgb(68, 144, 212)"
TPG,"rgb(100, 150, 20)"
GNI,"rgb(73, 139, 166)"
KUR,"rgb(192, 245, 71)"
GLI,"rgb(240, 167, 130)"
PAL,"rgb(0, 142, 76)"
TRH,"rgb(213, 0, 39)"
COB,"rgb(180, 137, 148)"
MEI,"rgb(144, 181, 106)"
WEI,"rgb(69, 188, 45)"
SCW,"rgb(98, 92, 94)"
HEK,"rgb(150, 55, 75)"
LIP,"rgb(203, 62, 185)"
SCM,"rgb(25, 155, 155)"
MST,"rgb(239, 232, 106)"
HOH,"rgb(48, 169, 96)"
WLD,"rgb(169, 194, 107)"
BHT,"rgb(104, 68, 124)"
UOM,"rgb(0, 39, 76)"
CIR,"rgb(75, 96, 55)"
CHC,"rgb(35, 52, 48)"
ASS,"rgb(111, 56, 200)"
KLM,"rgb(238, 220, 89)"
SCH,"rgb(235, 225, 95)"
KZH,"rgb(90, 120, 120)"
UZH,"rgb(70, 100, 80)"
OZH,"rgb(80, 80, 100)"
CAU,"rgb(200, 100, 55)"
SAV,"rgb(235, 196, 231)"
RHE,"rgb(5, 85, 5)"
PRC,"rgb(237, 41, 57)"
KRL,"rgb(22, 63, 26)"
TAR,"rgb(31, 218, 229)"
BKR,"rgb(71, 219, 129)"
BRY,"rgb(50, 50, 120)"
KMC,"rgb(25, 47, 119)"
CKC,"rgb(99, 236, 240)"
ALI,"rgb(74, 121, 198)"
URL,"rgb(55, 89, 88)"
KNT,"rgb(156, 190, 196)"
UDM,"rgb(82, 12, 12)"
CHV,"rgb(249, 125, 4)"
MRD,"rgb(222, 147, 226)"
MRI,"rgb(139, 98, 193)"
TJI,"rgb(45, 85, 45)"
UZB,"rgb(199, 199, 170)"
KYR,"rgb(161, 87, 87)"
PAU,"rgb(69, 103, 77)"
EQT,"rgb(168, 193, 183)"
CTR,"rgb(223, 249, 104)"
MNG,"rgb(32, 191, 148)"
BHI,"rgb(197, 206, 191)"
CNW,"rgb(194, 94, 63)"
FND,"rgb(220, 220, 245)"
PBC,"rgb(234, 107, 163)"
IQU,"rgb(245, 210, 80)"
NPU,"rgb(157, 55, 55)"
SPU,"rgb(55, 167, 77)"
RSM,"rgb(110, 10, 45)"
HRE,"rgb(250, 250, 245)"
UNL,"rgb(255, 118, 28)"
RHN,"rgb(77, 165, 128)"
PLT,"rgb(130, 135, 240)"
NCR,"rgb(123, 175, 212)"
SCR,"rgb(245, 102, 0)"
CLI,"rgb(135, 113, 196)"
GRG,"rgb(181, 0, 39)"
FLR,"rgb(255, 198, 142)"
PAK,"rgb(164, 157, 96)"
TIS,"rgb(190, 133, 82)"
KAB,"rgb(95, 95, 109)"
KAN,"rgb(71, 113, 193)"
HER,"rgb(80, 135, 113)"
CHT,"rgb(96, 193, 182)"
MAI,"rgb(204, 210, 3)"
KUN,"rgb(153, 76, 0)"
ARB,"rgb(140, 102, 152)"
BHW,"rgb(93, 148, 107)"
TRM,"rgb(156, 74, 74)"
ABK,"rgb(92, 188, 73)"
LUR,"rgb(207, 213, 47)"
MAZ,"rgb(217, 144, 88)"
BEI,"rgb(252, 185, 61)"
KAF,"rgb(195, 82, 20)"
LIM,"rgb(22, 11, 88)"
GAR,"rgb(60, 154, 135)"
PTA,"rgb(229, 231, 26)"
ALW,"rgb(65, 105, 225)"
NGA,"rgb(204, 250, 204)"
TIP,"rgb(255, 204, 204)"
KKI,"rgb(190, 190, 190)"
MGH,"rgb(255, 222, 173)"
COO,"rgb(220, 20, 60)"
SHS,"rgb(204, 229, 255)"
JHN,"rgb(255, 140, 0)"
PUD,"rgb(34, 139, 34)"
KOT,"rgb(123, 44, 0)"
IDA,"rgb(31, 102, 187)"
NAW,"rgb(222, 222, 0)"
DHA,"rgb(23, 121, 23)"
JUN,"rgb(200, 229, 237)"
BHV,"rgb(122, 222, 222)"
PLP,"rgb(222, 222, 222)"
SAT,"rgb(255, 153, 51)"
KHP,"rgb(188, 21, 64)"
BAG,"rgb(123, 14, 148)"
SUR,"rgb(60, 222, 75)"
KNO,"rgb(187, 1, 99)"
JEY,"rgb(237, 174, 221)"
MYB,"rgb(237, 204, 3)"
PTN,"rgb(114, 25, 100)"
NAR,"rgb(31, 145, 217)"
KHR,"rgb(106, 145, 255)"
LBL,"rgb(188, 192, 188)"
KPR,"rgb(20, 146, 1)"
DIR,"rgb(1, 65, 28)"
SWT,"rgb(244, 196, 22)"
CAR,"rgb(232, 79, 142)"
RAJ,"rgb(49, 13, 22)"
MHR,"rgb(49, 13, 22)"
GUJ,"rgb(231, 224, 107)"
DRA,"rgb(255, 245, 238)"
COC,"rgb(255, 188, 225)"
ALK,"rgb(249, 251, 255)"
BCE,"rgb(0, 51, 102)"
MLD,"rgb(0, 132, 61)"
BIH,"rgb(252, 239, 60)"
ARK,"rgb(212, 211, 151)"
IDS,"rgb(45, 120, 45)"
MPH,"rgb(111, 3, 252)"
KLO,"rgb(3, 165, 252)"
DGR,"rgb(235, 222, 52)"
SCT,"rgb(50, 162, 210)"
BNT,"rgb(59, 104, 94)"
EDE,"rgb(226, 194, 106)"
SPC,"rgb(217, 23, 26)"
ARN,"rgb(166, 68, 72)"
LEO,"rgb(99, 14, 87)"
ASU,"rgb(104, 173, 230)"
SC1,"rgb(247, 231, 124)"
SC2,"rgb(199, 184, 84)"
SC3,"rgb(235, 207, 23)"
SC4,"rgb(195, 179, 75)"
ALD,"rgb(220, 202, 96)"
CON,"rgb(228, 3, 16)"
EGY,"rgb(255, 205, 155)"
ETH,"rgb(56, 120, 191)"
MAD,"rgb(117, 150, 120)"
MAS,"rgb(0, 129, 48)"
LIB,"rgb(193, 138, 83)"
MOR,"rgb(224, 146, 113)"
NAL,"rgb(106, 178, 46)"
ORA,"rgb(224, 139, 47)"
SAF,"rgb(180, 158, 127)"
SOK,"rgb(0, 135, 81)"
TRI,"rgb(180, 137, 148)"
TRN,"rgb(140, 183, 154)"
TUN,"rgb(131, 101, 85)"
ZAN,"rgb(166, 189, 199)"
ZUL,"rgb(204, 186, 201)"
SIL,"rgb(123, 206, 101)"
MTB,"rgb(142, 80, 55)"
MSH,"rgb(193, 189, 151)"
MNC,"rgb(60, 147, 140)"
MSK,"rgb(75, 75, 148)"
MTP,"rgb(204, 121, 68)"
NAM,"rgb(49, 119, 34)"
HRO,"rgb(221, 140, 40)"
OVB,"rgb(240, 40, 121)"
SAN,"rgb(110, 130, 37)"
LZO,"rgb(176, 106, 168)"
TSW,"rgb(117, 170, 219)"
WBL,"rgb(122, 105, 77)"
PHL,"rgb(176, 176, 131)"
KZM,"rgb(202, 217, 170)"
BMB,"rgb(192, 90, 121)"
KSN,"rgb(102, 105, 101)"
OVM,"rgb(107, 94, 52)"
CHK,"rgb(99, 160, 39)"
LND,"rgb(199, 60, 39)"
KBA,"rgb(159, 60, 189)"
MNB,"rgb(75, 129, 182)"
NYM,"rgb(164, 125, 26)"
HHE,"rgb(126, 84, 131)"
FTJ,"rgb(230, 125, 127)"
BUG,"rgb(21, 21, 227)"
ASH,"rgb(97, 98, 195)"
YKA,"rgb(99, 160, 239)"
KON,"rgb(199, 160, 139)"
LNG,"rgb(200, 202, 85)"
FNG,"rgb(193, 170, 57)"
BNG,"rgb(41, 135, 135)"
BST,"rgb(137, 106, 217)"
TKE,"rgb(99, 160, 139)"
BOB,"rgb(211, 149, 112)"
LGA,"rgb(175, 103, 31)"
HMB,"rgb(180, 146, 150)"
LBA,"rgb(42, 63, 153)"
BNY,"rgb(174, 24, 66)"
ANK,"rgb(126, 162, 98)"
ACH,"rgb(166, 225, 217)"
KRG,"rgb(48, 177, 169)"
RWD,"rgb(213, 160, 18)"
BRD,"rgb(21, 191, 16)"
MSI,"rgb(190, 103, 84)"
TRK,"rgb(103, 84, 190)"
LUO,"rgb(153, 153, 168)"
GGO,"rgb(244, 228, 166)"
SNG,"rgb(203, 54, 66)"
KKY,"rgb(169, 52, 90)"
WSG,"rgb(18, 97, 128)"
GLD,"rgb(38, 160, 67)"
MJT,"rgb(220, 200, 100)"
DFR,"rgb(44, 160, 70)"
ISQ,"rgb(224, 255, 182)"
HOB,"rgb(255, 73, 7)"
DAK,"rgb(123, 134, 74)"
ZND,"rgb(208, 225, 57)"
DFT,"rgb(167, 92, 56)"
DNK,"rgb(78, 99, 75)"
NUE,"rgb(230, 227, 240)"
TPS,"rgb(232, 101, 68)"
AWS,"rgb(125, 125, 100)"
SHW,"rgb(1, 200, 200)"
HAR,"rgb(175, 75, 15)"
BRN,"rgb(236, 236, 104)"
KFA,"rgb(150, 0, 25)"
SDM,"rgb(83, 65, 167)"
WLG,"rgb(126, 208, 222)"
TGR,"rgb(167, 218, 207)"
GJM,"rgb(191, 147, 79)"
WLO,"rgb(222, 199, 163)"
BGM,"rgb(228, 243, 104)"
BOR,"rgb(30, 131, 162)"
BGI,"rgb(64, 124, 157)"
WAD,"rgb(194, 66, 41)"
AIR,"rgb(30, 31, 162)"
MSN,"rgb(230, 231, 62)"
OYO,"rgb(211, 184, 179)"
BEN,"rgb(110, 173, 129)"
CAY,"rgb(189, 187, 166)"
JLF,"rgb(215, 215, 125)"
FTR,"rgb(115, 204, 102)"
KNG,"rgb(137, 98, 195)"
DAH,"rgb(11, 84, 179)"
MOS,"rgb(27, 128, 45)"
KRT,"rgb(127, 28, 45)"
SGU,"rgb(27, 28, 145)"
TRZ,"rgb(230, 123, 17)"
KBU,"rgb(101, 63, 41)"
BND,"rgb(60, 118, 54)"
SRR,"rgb(57, 121, 111)"
SSU,"rgb(69, 109, 142)"
MDK,"rgb(191, 83, 53)"
HAU,"rgb(225, 185, 85)"
BLE,"rgb(218, 104, 44)"
KRU,"rgb(94, 168, 142)"
KBD,"rgb(117, 36, 54)"
AYI,"rgb(131, 210, 34)"
EWE,"rgb(210, 34, 131)"
IBO,"rgb(119, 24, 85)"
DLA,"rgb(22, 121, 17)"
TBI,"rgb(220, 210, 97)"
AHG,"rgb(138, 168, 70)"
TUA,"rgb(66, 98, 114)"
OUA,"rgb(113, 95, 122)"
ADG,"rgb(215, 132, 165)"
BSS,"rgb(203, 48, 37)"
TIR,"rgb(106, 95, 79)"
IBL,"rgb(142, 134, 187)"
KSS,"rgb(61, 75, 109)"
GAO,"rgb(62, 175, 151)"
TIV,"rgb(240, 213, 100)"
SRA,"rgb(179, 236, 217)"
EQU,"rgb(236, 173, 104)"
BJA,"rgb(140, 65, 135)"
NBA,"rgb(138, 187, 72)"
SUD,"rgb(189, 159, 69)"
SKM,"rgb(101, 122, 158)"
CHW,"rgb(116, 157, 102)"
LMW,"rgb(201, 10, 48)"
MKU,"rgb(38, 140, 40)"
SNA,"rgb(91, 132, 128)"
BTG,"rgb(200, 193, 108)"
XHO,"rgb(88, 80, 163)"
UYA,"rgb(192, 204, 111)"
ZIM,"rgb(0, 173, 112)"
MAL,"rgb(75, 179, 27)"
AFS,"rgb(130, 23, 47)"
SAH,"rgb(220, 202, 96)"
TUG,"rgb(90, 140, 190)"
AIT,"rgb(255, 255, 153)"
GZA,"rgb(191, 154, 108)"
MRV,"rgb(220, 220, 75)"
BRG,"rgb(218, 231, 235)"
BMM,"rgb(197, 201, 163)"
MGB,"rgb(209, 63, 44)"
WTU,"rgb(255, 164, 7)"
MBS,"rgb(127, 177, 72)"
AJR,"rgb(124, 128, 93)"
AUL,"rgb(196, 227, 240)"
MJK,"rgb(144, 33, 155)"
ORM,"rgb(101, 95, 188)"
SKY,"rgb(122, 131, 130)"
UTR,"rgb(1, 140, 80)"
OGD,"rgb(155, 188, 99)"
QWR,"rgb(112, 169, 199)"
TGI,"rgb(72, 92, 12)"
WLT,"rgb(212, 230, 54)"
HDY,"rgb(34, 128, 89)"
ARS,"rgb(255, 197, 179)"
ANU,"rgb(128, 98, 89)"
OMO,"rgb(71, 121, 128)"
SWZ,"rgb(255, 217, 0)"
PDI,"rgb(237, 107, 116)"
VND,"rgb(235, 122, 83)"
TMN,"rgb(71, 121, 24)"
DIO,"rgb(123, 111, 111)"
AGC,"rgb(255, 180, 0)"
ZWY,"rgb(221, 133, 80)"
AJJ,"rgb(255, 105, 180)"
FZN,"rgb(231, 0, 19)"
CYR,"rgb(30, 55, 80)"
LBY,"rgb(82, 137, 118)"
CMB,"rgb(140, 175, 130)"
MZB,"rgb(203, 105, 237)"
TEK,"rgb(93, 64, 156)"
RGB,"rgb(231, 134, 43)"
DLM,"rgb(43, 221, 159)"
DIN,"rgb(143, 55, 56)"
ATR,"rgb(83, 123, 40)"
ADR,"rgb(13, 164, 56)"
BRK,"rgb(33, 64, 120)"
HAW,"rgb(48, 169, 96)"
NTU,"rgb(62, 92, 54)"
NTO,"rgb(148, 185, 190)"
KNK,"rgb(190, 173, 103)"
PPU,"rgb(81, 97, 170)"
HLA,"rgb(210, 184, 220)"
BLA,"rgb(140, 166, 75)"
BLG,"rgb(140, 166, 75)"
KTI,"rgb(137, 88, 58)"
FJI,"rgb(159, 173, 219)"
SKH,"rgb(54, 102, 190)"
MCR,"rgb(248, 218, 99)"
VNT,"rgb(37, 214, 50)"
NRU,"rgb(231, 131, 17)"
PLY,"rgb(176, 62, 136)"
AOT,"rgb(47, 140, 191)"
ULR,"rgb(112, 54, 16)"
NSW,"rgb(114, 165, 203)"
WAS,"rgb(118, 115, 97)"
SAS,"rgb(170, 90, 128)"
UNT,"rgb(170, 167, 151)"
NNG,"rgb(209, 160, 107)"
KAU,"rgb(245, 212, 134)"
GML,"rgb(91, 191, 83)"
AST,"rgb(77, 139, 106)"
NZL,"rgb(90, 250, 127)"
TAS,"rgb(224, 194, 152)"
DEI,"rgb(20, 80, 80)"
SAK,"rgb(21, 196, 68)"
PON,"rgb(255, 102, 102)"
SMB,"rgb(102, 102, 255)"
JMB,"rgb(223, 228, 192)"
YOG,"rgb(201, 28, 54)"
SRK,"rgb(239, 51, 64)"
BTN,"rgb(209, 203, 31)"
SEL,"rgb(249, 215, 61)"
PRK,"rgb(76, 122, 117)"
SUL,"rgb(89, 164, 144)"
SLW,"rgb(153, 0, 0)"
TID,"rgb(176, 232, 64)"
STG,"rgb(255, 255, 0)"
BNJ,"rgb(171, 175, 40)"
IDN,"rgb(0, 128, 128)"
MGD,"rgb(119, 32, 29)"
YUZ,"rgb(97, 44, 96)"
PNS,"rgb(244, 140, 30)"
WTI,"rgb(54, 112, 16)"
MRN,"rgb(3, 113, 211)"
MND,"rgb(255, 255, 204)"
D00,"rgb(0, 127, 25)"
D01,"rgb(0, 127, 95)"
D02,"rgb(127, 68, 0)"
D03,"rgb(127, 0, 108)"
D04,"rgb(27, 0, 127)"
D05,"rgb(87, 127, 0)"
D06,"rgb(89, 127, 0)"
D07,"rgb(127, 85, 0)"
D08,"rgb(127, 0, 36)"
D09,"rgb(0, 91, 127)"
D10,"rgb(0, 78, 127)"
D11,"rgb(0, 127, 55)"
D12,"rgb(97, 127, 0)"
D13,"rgb(0, 127, 121)"
D14,"rgb(127, 63, 0)"
D15,"rgb(80, 127, 0)"
D16,"rgb(127, 0, 76)"
D17,"rgb(6, 0, 127)"
D18,"rgb(0, 36, 127)"
D19,"rgb(112, 0, 127)"
D20,"rgb(127, 0, 67)"
D21,"rgb(0, 16, 127)"
D22,"rgb(16, 127, 0)"
D23,"rgb(127, 72, 0)"
D24,"rgb(0, 127, 93)"
D25,"rgb(0, 68, 127)"
D26,"rgb(127, 12, 0)"
D27,"rgb(0, 127, 42)"
D28,"rgb(0, 33, 127)"
D29,"rgb(0, 127, 127)"
D30,"rgb(127, 10, 0)"
D31,"rgb(93, 127, 0)"
D32,"rgb(127, 0, 116)"
D33,"rgb(70, 127, 0)"
D34,"rgb(0, 19, 127)"
D35,"rgb(0, 127, 67)"
D36,"rgb(25, 127, 0)"
D37,"rgb(48, 0, 127)"
D38,"rgb(127, 112, 0)"
D39,"rgb(76, 0, 127)"
